laptop_id,img_link,name,price,laptop_brand,os_brand,usecases,tags
0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70,Lenovo Intel Core i5 11th Gen,62990,['Lenovo'],Windows, Business/Professional,intel core i5 processor (11th gen) 16 gb ddr4 ram window 11 oper system business/profession lenovo
1,https://rukminim1.flixcart.com/image/312/312/l58iaa80/computer/e/u/f/ga503rm-hq030ws-gaming-laptop-asus-original-imagfyjedtcx2vfw.jpeg?q=70,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS,161990,['ASUS'],Windows, Gaming,amd ryzen 9 octa core processor 16 gb ddr5 ram 64 bit window 11 oper system game asu
2,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/1/7/-original-imag3ebnzawky4kn.jpeg?q=70,ASUS VivoBook 15 (2022) Core i3 10th Gen,33990,['ASUS'],Windows, Home/Everyday use,intel core i3 processor (10th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use asu
3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/w/y/-original-imagmuhrzbmzwnee.jpeg?q=70,Lenovo Athlon Dual Core,18990,['Lenovo'],DOS, Budget Friendly,amd athlon dual core processor 4 gb ddr4 ram do oper system budget friendli lenovo
4,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,APPLE 2020 Macbook Air M1,86990,['APPLE'],MacOS, Multimedia/Entertainment,appl m1 processor 8 gb ddr4 ram mac os oper system multimedia/entertain appl
5,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS VivoBook 14 (2021) Celeron Dual Core,23990,['ASUS'],Windows, Budget Friendly,intel celeron dual core processor 4 gb ddr4 ram 64 bit window 11 oper system budget friendli asu
6,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,Lenovo V15 G2 Core i3 11th Gen,33999,['Lenovo'],Windows, Home/Everyday use,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use lenovo
7,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70,RedmiBook Pro Core i5 11th Gen,38990,['Redmi'],Windows, Business/Professional,intel core i5 processor (11th gen) 8 gb ddr4 ram window 11 oper system business/profession redmi
8,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/0/8/-original-imagkgr3wcfexyd8.jpeg?q=70,acer Aspire 3 Ryzen 3 Dual Core 3250U,26990,['acer'],Windows, Home/Everyday use,amd ryzen 3 dual core processor 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use acer
9,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/u/o/-original-imagg6t9hc6wubth.jpeg?q=70,ASUS Vivobook 14 (2022) Core i5 12th Gen,66990,['ASUS'],Windows, Business/Professional,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system business/profession asu
10,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70,ASUS Vivobook 15 Core i3 11th Gen,37990,['ASUS'],Windows, Business/Professional,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system business/profession asu
11,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/q/o/-original-imag7wjdg4dvcdya.jpeg?q=70,ASUS Core i7 11th Gen,56990,['ASUS'],Windows, Business/Professional,intel core i7 processor (11th gen) 16 gb ddr4 ram window 11 oper system business/profession asu
12,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/o/u/-original-imaghkk994ybh4fh.jpeg?q=70,DELL Vostro Core i3 11th Gen,39990,['DELL'],Windows, Business/Professional,intel core i3 processor (11th gen) 8 gb ddr4 ram window 11 oper system business/profession dell
13,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme Book (Slim) Core i3 11th Gen,46990,['realme'],Windows, Home/Everyday use,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 10 oper system home/everyday use realm
14,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70,HP 14s Intel Core i3 11th Gen,37990,['HP'],Windows, Home/Everyday use,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use hp
15,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,HP Ryzen 5 Hexa Core 5500U,49123,['HP'],Windows, Business/Professional,amd ryzen 5 hexa core processor 16 gb ddr4 ram 64 bit window 11 oper system business/profession hp
16,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,47990,['MSI'],Windows, Business/Professional,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system business/profession msi
17,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/z/r/-original-imaggskgx4ze73fn.jpeg?q=70,ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,86500,['ASUS'],Windows, Creative/Design,intel core i5 processor (12th gen) 16 gb lpddr5 ram 64 bit window 11 oper system creative/design asu
18,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70,APPLE 2020 Macbook Air M1,86990,['APPLE'],MacOS, Multimedia/Entertainment,appl m1 processor 8 gb ddr4 ram mac os oper system multimedia/entertain appl
19,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/6/1/15s-fq5007tu-thin-and-light-laptop-hp-original-imagkwj68xgexkhy.jpeg?q=70,HP 15s Intel Core i3 12th Gen,44990,['HP'],Windows, Home/Everyday use,intel core i3 processor (12th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use hp
20,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/8/15s-fr4000tu-thin-and-light-laptop-hp-original-imaghrcwmt7v5svk.jpeg?q=70,HP Intel Core i5 11th Gen,52990,['HP'],Windows, Business/Professional,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system business/profession hp
21,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,HP Ryzen 3 Quad Core 5300U,38990,['HP'],Windows, Business/Professional,amd ryzen 3 quad core processor 8 gb ddr4 ram 64 bit window 11 oper system business/profession hp
22,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,Lenovo IdeaPad 3 Core i3 11th Gen,33890,['Lenovo'],Windows, Home/Everyday use,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use lenovo
23,https://rukminim1.flixcart.com/image/312/312/ks4yz680/computer/q/5/z/x409fa-ek617t-thin-and-light-laptop-asus-original-imag5rwhrgjtgkyq.jpeg?q=70,ASUS Core i3 10th Gen,33990,['ASUS'],Windows, Business/Professional,intel core i3 processor (10th gen) 8 gb ddr4 ram window 11 oper system business/profession asu
24,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/6/o/14s-fq0568au-thin-and-light-laptop-hp-original-imaggdzyrdf7hbkr.jpeg?q=70,HP Athlon Dual Core 3050U,26990,['HP'],Windows, Budget Friendly,amd athlon dual core processor 8 gb ddr4 ram 64 bit window 11 oper system budget friendli hp
25,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Lenovo Intel Core i3 11th Gen,38500,['Lenovo'],Windows, Business/Professional,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system business/profession lenovo
26,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70,HP Ryzen 5 Hexa Core 5500U,45909,['HP'],Windows, Business/Professional,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system business/profession hp
27,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/computer/8/4/i/-original-imagcsyu53jxgtqe.jpeg?q=70,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,49990,['ASUS'],Windows, Creative/Design,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system creative/design asu
28,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/e/i/d/15s-fr2511tu-thin-and-light-laptop-hp-original-imagg59a7s5kymvy.jpeg?q=70,HP 15s Intel Core i3 11th Gen,40950,['HP'],Windows, Business/Professional,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system business/profession hp
