Name,Image,tags
"POCO M2 (Pitch Black, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/p/2/x/poco-m2-mzb9918in-original-imafvdqw3bbewa42.jpeg?q=70,"mediatek helio g80 processor poco m2 (pitch black, 64 gb)"
"POCO M2 (Slate Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g80 processor poco m2 (slate blue, 64 gb)"
"Realme Narzo 20 Pro (White Knight, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm narzo 20 pro (white knight, 64 gb)"
"Realme Narzo 20 Pro (White Knight, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm narzo 20 pro (white knight, 128 gb)"
"Realme Narzo 20 Pro (Black Ninja, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm narzo 20 pro (black ninja, 128 gb)"
"Realme Narzo 20 Pro (Black Ninja, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm narzo 20 pro (black ninja, 64 gb)"
"POCO M2 (Brick Red, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g80 processor poco m2 (brick red, 64 gb)"
"POCO M2 (Brick Red, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kerfl3k0/mobile/a/k/q/poco-m2-mzb9921in-original-imafvdpvfhdbgqhg.jpeg?q=70,"mediatek helio g80 processor poco m2 (brick red, 64 gb)"
"Motorola One Fusion+ (Twilight Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kb6tyfk0/mobile/d/n/z/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg?q=70,"qualcomm snapdragon 730g processor motorola one fusion+ (twilight blue, 128 gb)"
"POCO M2 (Slate Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/n/u/v/poco-m2-mzb9920in-original-imafvdrfhhuzcnyw.jpeg?q=70,"mediatek helio g80 processor poco m2 (slate blue, 128 gb)"
"POCO M2 Pro (Green and Greener, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/c/w/a/poco-m2-pro-mzb9625in-original-imaftga2ytmnt7ac.jpeg?q=70,"qualcomm snapdragon 720g processor poco m2 pro (green and greener, 64 gb)"
"Realme 6 (Comet Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kckud8w0/mobile/y/k/w/realme-6-rmx2001-original-imaftzgfyrnaj9wb.jpeg?q=70,"mediatek helio g90t processor realm 6 (comet blue, 64 gb)"
"POCO M2 Pro (Two Shades of Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g processor poco m2 pro (two shade of black, 64 gb)"
"Realme 6i (Lunar White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6i (lunar white, 64 gb)"
"Realme 6i (Eclipse Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6i (eclips black, 64 gb)"
"Realme 6 (Comet White, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kc3p30w0/mobile/f/w/u/realme-6-rmx2001-original-imaftazphzthcbse.jpeg?q=70,"mediatek helio g90t processor realm 6 (comet white, 64 gb)"
"POCO M2 Pro (Green and Greener, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/c/w/a/poco-m2-pro-mzb9625in-original-imaftga2ytmnt7ac.jpeg?q=70,"qualcomm snapdragon 720g processor poco m2 pro (green and greener, 64 gb)"
